ym,Mkt_RF,SMB,HML,RMW,CMA,MOM,RF
201006,-0.077264,-0.020907,-0.004727,0.000282,-0.003534,-0.0440,0.002004
201007,0.114183,0.032220,-0.026582,-0.010905,0.026002,0.0167,0.002134
201008,0.013317,0.078519,-0.075695,-0.005327,0.031641,0.0805,0.002055
201009,0.009753,0.001783,-0.045953,-0.012753,0.013551,0.0474,0.002130
201010,0.119258,-0.041279,0.011416,0.001736,-0.016803,-0.0352,0.002246
201011,-0.049940,0.062281,-0.035990,0.016373,0.012258,0.0448,0.002446
201012,-0.007594,-0.005681,0.015797,0.005367,-0.017040,0.0054,0.003230
201101,-0.017814,-0.034425,0.040516,-0.009226,0.005638,-0.0509,0.003930
201102,0.044323,0.054790,-0.030533,-0.040116,0.022328,0.0388,0.004320
201103,0.001873,0.017663,0.005710,-0.017481,0.006426,-0.0116,0.003581
201104,-0.010276,-0.017717,0.005235,0.000245,-0.006328,-0.0281,0.003592
201105,-0.063684,-0.007302,0.001029,0.012943,-0.015838,-0.0193,0.003795
201106,0.020831,0.020940,-0.019183,-0.002458,0.005706,0.0529,0.004514
201107,-0.017199,0.033644,-0.045950,-0.012635,-0.006926,-0.0010,0.005108
201108,-0.049416,0.026483,-0.013402,0.012745,-0.014984,0.0173,0.004642
201109,-0.086875,-0.024105,0.035450,0.008134,0.020165,-0.0154,0.004687
201110,0.045587,-0.010082,0.024788,-0.004325,-0.004981,-0.0243,0.004700
201111,-0.053179,0.017016,-0.018001,-0.002132,0.007363,-0.0132,0.004731
201112,-0.064462,-0.088985,0.079741,0.079584,-0.047324,0.0377,0.004565
201201,0.033567,-0.041510,-0.007009,0.001677,0.018116,-0.0075,0.004565
